gene,gene,cell_type1,cell_type2
Sept4,SEPT4,astrocyte,oligodendrocyte
Atp13a5,ATP13A5,astrocyte,
Mlph,MLPH,astrocyte,
Rlbp1,RLBP1,astrocyte,
Impact,IMPACT,astrocyte,
Slc6a20,SLC6A20,astrocyte,
Gpr98,GPR98,astrocyte,
Ndrg2,NDRG2,astrocyte,
Fgfr3,FGFR3,astrocyte,
Cpe,CPE,astrocyte,
Agt,AGT,astrocyte,
Slco1c1,SLCO1C1,astrocyte,vessel
Rpe65,RPE65,astrocyte,
Prnp,PRNP,astrocyte,
F3,F3,astrocyte,
Glul,GLUL,astrocyte,
Pla2g7,PLA2G7,astrocyte,
Anxa11,ANXA11,astrocyte,
Selenbp1,SELENBP1,astrocyte,
C1qa,C1QA,astrocyte,
Sparc,SPARC,astrocyte,
Dio2,DIO2,astrocyte,
Pfkp,PFKP,astrocyte,
Aldoc,ALDOC,astrocyte,
Apoe,APOE,astrocyte,
Tmem56,TMEM56,astrocyte,
Cst3,CST3,astrocyte,
Clu,CLU,astrocyte,
Hsd17b11,HSD17B11,astrocyte,
Dbi,DBI,astrocyte,
Bcan,BCAN,astrocyte,
Adora2b,ADORA2B,astrocyte,
Scd1,SCD,astrocyte,
Gfap,GFAP,astrocyte,oligodendrocyte
Notch1,NOTCH1,astrocyte,
Btbd17,BTBD17,astrocyte,
Nacc2,NACC2,astrocyte,
Matn4,MATN4,astrocyte,
Slc4a4,SLC4A4,astrocyte,
Slc1a3,SLC1A3,astrocyte,
Mfge8,MFGE8,astrocyte,
Emx2,EMX2,astrocyte,
Slc1a2,SLC1A2,astrocyte,
Prodh,LOC102724788,astrocyte,
Slc39a12,SLC39A12,astrocyte,vessel
Magi1,MAGI1,astrocyte,
Grin2c,GRIN2C,astrocyte,
Aldh1l1,ALDH1L1,astrocyte,
Sox8,SOX8,astrocyte,
Sox9,SOX9,astrocyte,
Cd63,CD63,astrocyte,
Pou2f1,POU2F1,astrocyte,
Pcp4,PCP4,astrocyte,
Fos,FOS,astrocyte,
Ppap2b,PPAP2B,astrocyte,
Ghitm,GHITM,astrocyte,
Csrp1,CSRP1,astrocyte,oligodendrocyte
Dip2a,DIP2A,astrocyte,
Gja1,GJA1,astrocyte,
Gpr56,GPR56,astrocyte,
S1pr1,S1PR1,astrocyte,
Ncan,NCAN,astrocyte,
S100b,S100B,astrocyte,oligodendrocyte
Aqp4,AQP4,astrocyte,
Ednrb,EDNRB,astrocyte,
Sparcl1,SPARCL1,astrocyte,
Selpl,SELPLG,astrocyte,
Itgb5,ITGB5,astrocyte,vessel
Fzd2,FZD2,astrocyte,
Mertk,MERTK,astrocyte,
Igsf5,IGSF5,astrocyte,
Mlc1,MLC1,astrocyte,
Hepacam,HEPACAM,astrocyte,
Atp1a2,ATP1A2,astrocyte,
Hey1,HEY1,astrocyte,
Osbpl1a,OSBPL1A,astrocyte,
Thy1,THY1,astrocyte,neuron
Cdkn1a,CDKN1A,astrocyte,
Slc7a10,SLC7A10,astrocyte,
Gsn,GSN,astrocyte,oligodendrocyte
Gpc5,GPC5,astrocyte,
Prdx6,PRDX6,astrocyte,
Gldc,GLDC,astrocyte,
Fabp7,FABP7,astrocyte,
Atp1a4,ATP1A4,astrocyte,
Atp1a1,ATP1A1,astrocyte,
Id3,ID3,astrocyte,vessel
Gjb4,GJB4,astrocyte,
Gjb6,GJB6,astrocyte,
Stab1,STAB1,astrocyte,
Gpr37l1,GPR37L1,astrocyte,
Glud1,GLUD1,astrocyte,
Chl1,CHL1,astrocyte,
Cx3cr1,CX3CR1,microglia,
Ptprc,PTPRC,microglia,
Aif1,AIF1,microglia,
Cfh,CFH,microglia,vessel
Csf2rb2,CSF2RB,microglia,
Adgre1,ADGRE1,microglia,
Tmem119,TMEM119,microglia,
Fcer1g,FCER1G,microglia,
Cd83,CD83,microglia,
Cd40,CD40,microglia,
Rgs2,RGS2,microglia,
Itgam,ITGAM,microglia,astrocyte
Ccl3,CCL3L3,microglia,
Tlr2,TLR2,microglia,
Tlr7,TLR7,microglia,
Iba1,AIF1?,microglia,
Il1a,IL1A,microglia,
Ccl12,CCL2,microglia,
Nr3c1,NR3C1,microglia,
Runx1,RUNX1,microglia,
Cd86,CD86,microglia,
Tnf,TNF,microglia,
Cd68,CD68,microglia,
Trpv4,TRPV4,microglia,vessel
Olig3,OLIG3,MO,
Kcnh3,KCNH3,neuron,
Cpne7,CPNE7,neuron,
Ywhag,YWHAG,neuron,
Disp2,DISP2,neuron,
Scn3a,SCN3A,neuron,
Syt1,SYT1,neuron,
Nog,NOG,neuron,
Sh3gl2,SH3GL2,neuron,
Kctd12,KCTD12,neuron,
Pnoc,PNOC,neuron,
Kcnq2,KCNQ2,neuron,
Ptprn,PTPRN,neuron,
Reln,RELN,neuron,
Gad1,GAD1,neuron,
Gad2,GAD2,neuron,
Ndrg4,NDRG4,neuron,
Madd,MADD,neuron,
Ubash3b,UBASH3B,neuron,
Calm2,CALM2,neuron,
Alcam,ALCAM,neuron,
Lrp11,LRP11,neuron,
Tcaf1,TCAF1,neuron,
Slc17a6,SLC17A6,neuron,
Slc17a7,SLC17A7,neuron,
Kcnc2,KCNC2,neuron,
Pthlh,PTHLH,neuron,
Mkl2,MKL2,neuron,
Cort,CORT,neuron,
Lgi2,LGI2,neuron,
Tac2,TAC3,neuron,
Gria2,GRIA2,neuron,
Gria3,GRIA3,neuron,
Gria4,GRIA4,neuron,
Abat,ABAT,neuron,
L1cam,L1CAM,neuron,
Cemip,CEMIP,neuron,
Cyfip2,CYFIP2,neuron,
Fam46a,FAM46A,neuron,
Pcdh18,PCDH18,neuron,
Ncam1,NCAM1,neuron,
Slc12a5,SLC12A5,neuron,
Cdh13,CDH13,neuron,
Bex2,BEX1,neuron,
Slc22a17,SLC22A17,neuron,
Rnf144b,RNF144B,neuron,
Sst,SST,neuron,
Lba1,LBA1,neuron,
Smarca2,SMARCA2,neuron,
Sema3c,SEMA3C,neuron,
Rtn1,RTN1,neuron,
Eno2,ENO2,neuron,
